symbol,asset_id,fiscal_year,metric,aggregation_method,quarterly_value,annual_value,unit,absolute_difference,relative_difference_pct,status,annual_publication_date,annual_source_url,reviewed_at,notes
508096,hubei_jingtai_pv,2025,utilization_hours,sum,1015.53,1015.52,hours,0.01,0.0009847171892,within_rounding,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度值求和相差0.01小时
508096,songshanhekou_hydro,2025,power_generation,sum,700,700,10k_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,仅覆盖12月27日至31日
508096,songshanhekou_hydro,2025,settled_electricity,sum,600,600,10k_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,采用年报最新账单版本
508096,songshanhekou_hydro,2025,settlement_revenue,sum,2000000,2000000,RMB,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,仅覆盖12月27日至31日
508096,songshanhekou_hydro,2025,settlement_tariff,settled_electricity_weighted_average,0.3233,0.3233,RMB_per_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,采用年报最新账单版本
508096,songshanhekou_hydro,2025,utilization_hours,sum,39.08,39.08,hours,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,仅覆盖12月27日至31日
508096,sujiahekou_hydro,2025,power_generation,sum,1300,1300,10k_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,仅覆盖12月27日至31日
508096,sujiahekou_hydro,2025,settled_electricity,sum,1200,1200,10k_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,采用年报最新账单版本
508096,sujiahekou_hydro,2025,settlement_revenue,sum,4000000,4000000,RMB,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,仅覆盖12月27日至31日
508096,sujiahekou_hydro,2025,settlement_tariff,settled_electricity_weighted_average,0.3227,0.3227,RMB_per_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,采用年报最新账单版本
508096,sujiahekou_hydro,2025,utilization_hours,sum,39.95,39.95,hours,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,仅覆盖12月27日至31日
508096,yulin_pv,2025,power_generation,sum,31600,31600,10k_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度合计与年报一致
508096,yulin_pv,2025,settled_electricity,sum,30700,30700,10k_kWh,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度合计与年报一致
508096,yulin_pv,2025,settlement_revenue,sum,256000000,255000000,RMB,1000000,0.3921568627,within_rounding,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度结算电费按0.01亿元披露
508096,yulin_pv,2025,settlement_tariff,settled_electricity_weighted_average,0.8324729642,0.8324,RMB_per_kWh,7.296416938e-05,0.008765517706,within_rounding,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,加权结果与年报差异小于0.0001元每千瓦时
508096,yulin_pv,2025,utilization_hours,sum,956.63,956.63,hours,0,0,exact,2026-03-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-03-31/508096_20260331_UYPB.pdf,2026-08-29,季度合计与年报一致
